h_id;agrupamento;assertividade;fonte;id_estudante;id_fonte;id_questionario;método
6395367e0dedcfcbae159b2a;False;0,5;null;23;24;2;casos
6395367e0dedcfcbae159b2b;False;1;null;23;25;2;casos
6395367e0dedcfcbae159b2c;False;0,2727272727272727;null;23;26;2;casos
6395367e0dedcfcbae159b2d;False;0,8401515151515152;3;23;Média;2;casos
639536810dedcfcbae159b37;False;1;null;24;9;2;casos
639536810dedcfcbae159b38;False;0,75;null;24;10;2;casos
639536810dedcfcbae159b39;False;0,75;null;24;11;2;casos
639536820dedcfcbae159b3a;False;1;null;24;12;2;casos
639536820dedcfcbae159b3b;False;1;null;24;13;2;casos
639536820dedcfcbae159b3c;False;0,75;null;24;14;2;casos
639536820dedcfcbae159b3d;False;1;null;24;15;2;casos
639536820dedcfcbae159b3e;False;1;null;24;16;2;casos
639536830dedcfcbae159b3f;False;1;null;24;17;2;casos
639536830dedcfcbae159b40;False;1;null;24;18;2;casos
639536830dedcfcbae159b41;False;1;null;24;19;2;casos
639536830dedcfcbae159b42;False;1;null;24;20;2;casos
639536830dedcfcbae159b43;False;1;null;24;21;2;casos
639536840dedcfcbae159b44;False;1;null;24;22;2;casos
639536840dedcfcbae159b45;False;0,8;null;24;23;2;casos
639536840dedcfcbae159b46;False;0,6;null;24;24;2;casos
639536840dedcfcbae159b47;False;0,6;null;24;25;2;casos
639536840dedcfcbae159b48;False;1;null;24;26;2;casos
639536850dedcfcbae159b49;False;0,9027777777777778;3;24;Média;2;casos
639536860dedcfcbae159b4a;False;0,42857142857142855;null;25;9;2;casos
639536860dedcfcbae159b4b;False;0,42857142857142855;null;25;10;2;casos
639536860dedcfcbae159b4c;False;1;null;25;11;2;casos
639536870dedcfcbae159b4d;False;0,23076923076923078;null;25;12;2;casos
639536870dedcfcbae159b4e;False;1;null;25;13;2;casos
639536870dedcfcbae159b4f;False;0,75;null;25;14;2;casos
639536870dedcfcbae159b50;False;1;null;25;15;2;casos
639536870dedcfcbae159b51;False;0,3333333333333333;null;25;16;2;casos
639536880dedcfcbae159b52;False;0,42857142857142855;null;25;17;2;casos
639536880dedcfcbae159b53;False;0,5;null;25;18;2;casos
639536880dedcfcbae159b54;False;1;null;25;19;2;casos
639536880dedcfcbae159b55;False;0,16666666666666666;null;25;20;2;casos
639536880dedcfcbae159b56;False;0,3;null;25;21;2;casos
639536890dedcfcbae159b57;False;0,6;null;25;22;2;casos
639536890dedcfcbae159b58;False;0,1875;null;25;23;2;casos
639536890dedcfcbae159b59;False;0,375;null;25;24;2;casos
639536890dedcfcbae159b5a;False;0,5;null;25;25;2;casos
